*Model	Length	63	125	250	500	1k	2k	4k	8k	Free Area (%)	Code
22C	1200	-2	-4	-10	-18	-17	-12	-7	-5	53	RT22CQS
22D	1500	-2	-5	-12	-23	-21	-15	-7	-5	53	RT22DQS
22E	1800	-2	-6	-15	-28	-26	-18	-9	-6	53	RT22EQS
22F	2100	-2	-7	-18	-31	-30	-20	-11	-7	53	RT22FQS
22G	2400	-3	-10	-22	-37	-36	-25	-15	-10	53	RT22GQS
25A	600	-1	-2	-5	-8	-8	-5	-3	-3	56	RT25AQS
25B	900	-1	-3	-7	-12	-11	-7	-5	-4	56	RT25BQS
25C	1200	-1	-4	-9	-16	-15	-10	-5	-4	56	RT25CQS
25D	1500	-1	-5	-11	-21	-18	-13	-6	-4	56	RT25DQS
25E	1800	-2	-5	-14	-26	-23	-16	-8	-5	56	RT25EQS
25F	2100	-2	-6	-16	-29	-27	-18	-9	-6	56	RT25FQS
25G	2400	-2	-7	-18	-33	-31	-20	-11	-7	56	RT25GQS
*Circular Open 1D											
-31	300	-1	-3	-5	-9	-13	-10	-8	-7		C1-031
-35	300	-2	-3	-5	-9	-13	-10	-8	-7		C1-035
-40	600	-2	-3	-5	-9	-13	-10	-8	-7		C1-040
-45	600	-2	-3	-5	-10	-13	-10	-8	-7		C1-045
-50	600	-2	-3	-6	-10	-14	-10	-8	-7		C1-050
-56	600	-2	-4	-6	-10	-14	-10	-8	-7		C1-056
-63	600	-3	-4	-7	-13	-14	-9	-8	-6		C1-063
-71	900	-3	-4	-8	-14	-14	-9	-7	-6		C1-071
-80	900	-3	-4	-8	-14	-13	-9	-7	-6		C1-080
-90	1150	-3	-4	-9	-14	-13	-8	-7	-6		C1-090
-100	1150	-3	-4	-9	-14	-12	-8	-7	-6		C1-100
-125	1150	-3	-4	-10	-14	-12	-8	-6	-6		C1-125
-140	1150	-3	-5	-10	-13	-11	-8	-5	-5		C1-140
-160	1800	-4	-6	-11	-13	-10	-7	-5	-5		C1-160
-180	1800	-4	-6	-11	-13	-10	-6	-5	-5		C1-180
-200	1800	-4	-6	-11	-13	-9	-6	-5	-5		C1-200
*Circular Open 2D											
-31	600	-3	-6	-9	-15	-21	-17	-14	-13		C2-031
-35	600	-4	-6	-10	-15	-21	-17	-14	-13		C2-035
-40	900	-4	-6	-10	-16	-21	-18	-15	-13		C2-040
-45	900	-4	-7	-10	-17	-21	-18	-15	-13		C2-045
-50	1150	-4	-7	-10	-18	-21	-17	-15	-12		C2-050
-56	1150	-5	-7	-11	-18	-21	-17	-15	-12		C2-056
-63	1150	-5	-8	-11	-21	-23	-17	-15	-10		C2-063
-71	1500	-5	-8	-12	-22	-23	-16	-15	-10		C2-071
-80	1500	-5	-8	-12	-22	-23	-16	-15	-10		C2-080
-90	1800	-5	-8	-13	-22	-19	-13	-12	-10		C2-090
-100	1800	-6	-8	-13	-22	-19	-13	-12	-10		C2-100
-125	2400	-6	-8	-13	-21	-18	-13	-12	-11		C2-125
-140	2400	-7	-9	-15	-21	-18	-11	-11	-11		C2-140
-160	3600	-8	-9	-15	-20	-17	-11	-9	-8		C2-160
-180	3600	-8	-9	-15	-20	-17	-10	-9	-8		C2-180
-200	3600	-8	-9	-15	-20	-17	-10	-9	-8		C2-200
*Circular Pod 1D Podded											
-31	300	-3	-6	-8	-13	-20	-19	-16	-14		C1P-031
-35	300	-4	-6	-8	-13	-20	-19	-16	-14		C1P-035
-40	600	-4	-6	-9	-14	-21	-19	-16	-13		C1P-040
-45	600	-4	-6	-9	-15	-21	-19	-16	-13		C1P-045
-50	600	-4	-6	-9	-15	-22	-19	-15	-12		C1P-050
-56	600	-4	-6	-9	-15	-22	-19	-15	-12		C1P-056
-63	600	-4	-6	-10	-18	-22	-19	-15	-11		C1P-063
-71	900	-5	-6	-10	-18	-22	-19	-15	-11		C1P-071
-80	900	-5	-6	-10	-18	-24	-17	-15	-11		C1P-080
-90	1150	-5	-7	-11	-20	-20	-16	-13	-11		C1P-090
-100	1150	-5	-7	-12	-20	-19	-14	-13	-10		C1P-100
-125	1150	-5	-7	-12	-20	-19	-14	-13	-10		C1P-125
-140	1150	-5	-7	-12	-19	-18	-14	-12	-9		C1P-140
-160	1800	-5	-7	-12	-18	-17	-12	-10	-9		C1P-160
-180	1800	-5	-7	-12	-18	-17	-12	-10	-9		C1P-180
-200	1800	-5	-7	-12	-18	-17	-12	-10	-9		C1P-200
*Circular Pod 2D Podded											
-31	600	-6	-9	-14	-21	-28	-28	-25	-22		C2P-031
-35	600	-6	-9	-14	-21	-28	-28	-25	-22		C2P-035
-40	900	-6	-9	-14	-22	-29	-28	-26	-23		C2P-040
